OBJECTID_1,SRA,INCORP,HAZ_CODE,HAZ_CLASS,VH_REC,SHAPE_LENG,OBJECTID,FID_C19FHS,FHSZ_LYR,SHAPEAREA,SHAPELEN
218,LRA, ,3,Very High,,2633.65491419,,,LRA,98101.742455215,3179.02367869691
219,LRA, ,3,Very High,,5664.3077575,,,LRA,2860898.09256148,6806.74592255291
220,LRA, ,3,Very High,,2294.72616185,,,LRA,354537.54597899,2755.2640966897
221,LRA, ,3,Very High,,1119.05663271,,,LRA,104061.29282834,1346.97462334461
222,LRA, ,3,Very High,,2876.79514078,,,LRA,432808.12438179,3455.74685331883
223,LRA, ,3,Very High,,20096.5241038,,,LRA,2821852.8230596,24164.6930843696
224,LRA, ,3,Very High,,11784.6942729,,,LRA,1945799.98636459,14174.336294597
225,LRA, ,3,Very High,,2369.43709205,,,LRA,254569.024737965,2850.32471752326
226,LRA, ,3,Very High,,10046.633434,,,LRA,1701782.34112109,12103.51343017
227,LRA, ,3,Very High,,7148.72935074,,,LRA,1751314.14229809,8622.61997479222
228,LRA,Y,3,Very High,,17768.8976514,,,LRA,9662957.40504655,21333.7862804652
229,LRA,Y,3,Very High,,18803.7441316,,,LRA,6103786.4766996,22567.9724893568
230,LRA,Y,3,Very High,,78999.5163165,,,LRA,49693297.691132,94990.4240205481
231,LRA,Y,3,Very High,,68096.097055,,,LRA,60867787.1986861,81877.8261521209
232,LRA,Y,3,Very High,,19744.6006106,,,LRA,7503790.93207093,23767.6466413765
233,LRA,Y,3,Very High,,100839.936624,,,LRA,59123181.3338197,121306.32895927
234,LRA,Y,3,Very High,,43903.4511116,,,LRA,21623948.9536931,52879.0849418804
235,LRA,Y,3,Very High,,3854.73421048,,,LRA,366092.13881488,4632.81541261912
236,LRA, ,3,Very High,,1073.49001459,,,LRA,74818.25614303,1384.83463809176
237,LRA, ,3,Very High,,2529.46105619,,,LRA,693599.702435215,3263.40852214584
238,LRA, ,3,Very High,,3175.94303192,,,LRA,248656.94524989,4098.88174663666
239,LRA, ,3,Very High,,1316.66465098,,,LRA,130230.01196059,1699.94442982954
240,LRA, ,3,Very High,,1188.17219375,,,LRA,85830.887888225,1535.05085065018
241,LRA, ,3,Very High,,1342.04445159,,,LRA,94319.308132605,1734.17053023631
242,LRA, ,3,Very High,,3971.94567776,,,LRA,937512.031076065,5132.79939325682
243,LRA, ,3,Very High,,22873.4276945,,,LRA,1236183.14414531,29591.3816739066
244,LRA, ,3,Very High,,7810.13660688,,,LRA,441213.163495565,10094.2679343288
245,LRA,Y,3,Very High,,10096.567013,,,LRA,2187210.57430347,12984.9605708548
246,LRA,Y,3,Very High,,2368.569585,,,LRA,502986.445953825,3053.51351087843
247,LRA,Y,3,Very High,,1102.8877202,,,LRA,112311.18010957,1422.39750831379
248,LRA,Y,3,Very High,,16760.0333153,,,LRA,5410697.87820717,21614.5703352515
249,LRA, ,3,Very High,,1112.72986384,,,LRA,99186.44665783,1449.8549596901
250,LRA, ,3,Very High,,977.73313737,,,LRA,13126.75531693,1218.71970698228
251,LRA, ,3,Very High,,9259.41021335,,,LRA,1477474.89074462,11818.1149234394
252,LRA, ,3,Very High,,1198.44022592,,,LRA,97440.1200306,1534.02735960566
253,LRA,Y,3,Very High,,1045.82100925,,,LRA,44987.09518589,1335.27419198015
254,LRA,Y,3,Very High,,2774.61844449,,,LRA,576728.16596917,3550.48588836697
255,LRA,Y,3,Very High,,8166.1694743,,,LRA,2451813.16080193,10450.8587829696
256,LRA, ,3,Very High,,3184.10670379,,,LRA,844468.19537605,4113.332713402
257,LRA, ,3,Very High,,834.40174748,,,LRA,47130.23144073,1078.07068702561
258,LRA, ,3,Very High,,1974.62216716,,,LRA,121522.6239626,2550.50395630269
259,LRA, ,3,Very High,,1892.99141097,,,LRA,161468.47606755,2448.38894522673
260,LRA, ,3,Very High,,3297.09020208,,,LRA,495569.04951458,4263.44611643658
261,LRA, ,3,Very High,,2593.7497564,,,LRA,281418.86133382,3354.79655168042
262,LRA,Y,3,Very High,,4563.49088388,,,LRA,811583.256891045,5895.06093150834
263,LRA,Y,3,Very High,,8365.56655617,,,LRA,991975.010364795,10805.3914399966
264,LRA,Y,3,Very High,,4446.39247391,,,LRA,1126463.33999954,5742.01406107943
265,LRA,Y,3,Very High,,1570.27531676,,,LRA,144048.67003966,2028.97440126621
266,LRA,Y,3,Very High,,4239.25238379,,,LRA,494623.21745337,5478.52551855539
267,LRA,Y,3,Very High,,4599.86257057,,,LRA,950372.78394688,5942.10839947117
268,LRA,Y,3,Very High,,16123.3112159,,,LRA,5923266.36249607,20827.6834707394
269,LRA,Y,3,Very High,,7984.8343423,,,LRA,2010572.08864936,9578.73587166774
270,LRA,Y,3,Very High,,4257.4922272,,,LRA,358334.30748278,5121.14011114086
271,LRA,Y,3,Very High,,901.30668155,,,LRA,38304.560482385,1081.78585138656
272,LRA,Y,3,Very High,,5891.06224889,,,LRA,917236.006862935,7075.83706071517
273,LRA,Y,3,Very High,,16329.7161972,,,LRA,8076009.52349517,19692.1771784036
274,LRA,Y,3,Very High,,103775.404433,,,LRA,82496352.2927345,125096.82342095
275,LRA,Y,3,Very High,,51105.8756247,,,LRA,21252761.4366795,61643.8816619323
276,LRA, ,3,Very High,,3117.08180914,,,LRA,45617.362900975,4013.21982902123
277,LRA, ,3,Very High,,1751.31609031,,,LRA,301758.32398562,2256.69314896808
278,LRA, ,3,Very High,,10898.2107217,,,LRA,2269954.54058171,13117.1977152183
279,LRA, ,3,Very High,,8946.80836218,,,LRA,1065623.90731008,10765.7065002698
280,LRA, ,3,Very High,,1705.94461015,,,LRA,102356.66177309,2055.18241528642
281,LRA, ,3,Very High,,605.8135144,,,LRA,32509.26917433,730.323147596968
282,LRA, ,3,Very High,,4068.01690355,,,LRA,352341.394324725,4901.71128379629
283,LRA, ,3,Very High,,11286.2314373,,,LRA,1368142.56053749,13596.2015218719
284,LRA, ,3,Very High,,3825.32504112,,,LRA,358252.655676965,4608.94595574701
285,LRA, ,3,Very High,,15101.1277389,,,LRA,1568455.65766339,18196.4220093504
286,LRA, ,3,Very High,,8495.70363636,,,LRA,1019447.45432881,10245.9736958914
287,LRA, ,3,Very High,,7120.19770811,,,LRA,1127576.13884695,8567.0620778046
288,LRA, ,3,Very High,,6047.12042721,,,LRA,1475629.56904628,7278.40006519224
289,LRA, ,3,Very High,,3485.01888164,,,LRA,412038.146560955,4191.77693291678
290,LRA, ,3,Very High,,1179.79511773,,,LRA,79164.161947715,1421.45360082141
291,LRA, ,3,Very High,,9009.75480185,,,LRA,2023238.65595392,10843.9973213708
292,LRA, ,3,Very High,,943.78707975,,,LRA,37593.911173905,1137.90076809277
293,LRA, ,3,Very High,,197575.553541,,,LRA,179166050.301434,237701.965658354
294,LRA, ,3,Very High,,21963.0732322,,,LRA,3560249.55510095,26435.0700671153
295,LRA, ,3,Very High,,1542.92920206,,,LRA,133008.975912825,1860.06290350213
296,LRA, ,3,Very High,,7498.35443135,,,LRA,1140715.53424468,9022.95168556181
297,LRA, ,3,Very High,,5818.25489657,,,LRA,354305.76520261,7009.28882613905
298,LRA, ,3,Very High,,761.83601228,,,LRA,34384.32681484,918.252180541422
299,LRA, ,3,Very High,,6090.64888036,,,LRA,747367.484013605,7341.84362965424
300,LRA, ,3,Very High,,2879.64316879,,,LRA,428162.327619065,3469.34319884742
301,LRA, ,3,Very High,,4636.74801931,,,LRA,514933.70630802,5584.4061806312
302,LRA, ,3,Very High,,4543.64755651,,,LRA,450454.222691675,5471.19719565826
303,LRA, ,3,Very High,,1570.75969528,,,LRA,200875.47627075,1890.83262621533
304,LRA, ,3,Very High,,1585.08121387,,,LRA,227814.3521706,1909.58260037787
305,LRA, ,3,Very High,,6573.99798507,,,LRA,707938.502331175,8577.82393735106
306,LRA, ,3,Very High,,9413.98087334,,,LRA,1386388.67066483,12279.767861048
