OBJECTID,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,ALARM_DATE,CONT_DATE
13020,1970,CA,CNF,00000098,C & M,USF,8,1,00000000,1,,65,56.19396973,1970/09/04 00:00:00+00,1970/09/04 00:00:00+00
13021,1983,CA,PNF,00000037, ,USF,8,9,00000000,1,,15,7.24489498,1983/07/25 00:00:00+00,1983/07/26 00:00:00+00
13022,1983,CA,PNF,00000007, ,USF,8,1,00000000,1,,15,7.4067955,1983/05/29 00:00:00+00,1983/05/30 00:00:00+00
13023,1971,CA,MDF,00000049,CASUSE,USF,8,6,00000000,1,,1469,1568.40771484,1971/08/19 00:00:00+00,1971/08/20 00:00:00+00
13024,1971,CA,MDF,00000050,TWIN,USF,8,6,00000000,1,,3305,3358.91162109,1971/08/20 00:00:00+00,1971/08/21 00:00:00+00
13025,1971,CA,SRF,0010083, ,USF,8,3,00000000,1,,241,242.92010498,1971/09/18 00:00:00+00,1971/09/18 00:00:00+00
13026,1971,CA,KNF,00000007,GLACIER VIEW,USF,8,5,00000000,1,,200,253.24232483,1971/06/22 00:00:00+00,1971/06/24 00:00:00+00
13027,1971,CA,KNF,00000074,SISTERS,USF,8,1,00000000,1,,18,12.47888756,1971/08/28 00:00:00+00,1971/08/29 00:00:00+00
13028,1974,CA,CNF,00000018,CASE,USF,8,3,00000000,1,,29,29.26727676,1974/05/22 00:00:00+00,1974/05/22 00:00:00+00
13029,1975,CA,CNF,00000118,OROSCO,USF,8,9,00000000,1,,60,37.5607605,1975/11/12 00:00:00+00,1975/11/13 00:00:00+00
13030,1975,CA,CNF,00000033,SAN VICENTE,USF,8,8,00000000,1,,80,66.87585449,1975/06/30 00:00:00+00,1975/07/01 00:00:00+00
13031,1975,CA,CNF,00000045,DEVIL,USF,8,4,00000000,1,,152,231.24734497,1975/07/12 00:00:00+00,1975/07/12 00:00:00+00
13032,1979,CA,BDF,00000165, ,USF,8,7,00000000,1,,150,188.44863892,1979/08/29 00:00:00+00,1979/08/30 00:00:00+00
13033,1970,CA,BDF,00000224, ,USF,8,9,00000000,1,,33920,37472.15625,1970/09/28 00:00:00+00,1970/10/17 00:00:00+00
13034,1979,CA,SQF,00000083,COW,USF,8,8,00000000,1,,1510,1545.23583984,1979/08/07 00:00:00+00,1979/08/09 00:00:00+00
13035,1979,CA,SQF,00000079, ,USF,8,9,00000000,1,,45,42.72706985,1979/08/02 00:00:00+00,1979/08/03 00:00:00+00
13036,1979,CA,SQF,00000049, ,USF,8,1,00000000,1,,400,329.70404053,1979/07/19 00:00:00+00,1979/07/21 00:00:00+00
13037,1979,CA,SQF,00000078, ,USF,8,3,00000000,1,,1430,1283.31323242,1979/07/29 00:00:00+00,1979/07/31 00:00:00+00
13038,1979,CA,SQF,00000015, ,USF,8,7,00000000,1,,90,9.12693214,1979/06/13 00:00:00+00,1979/06/13 00:00:00+00
13039,1985,CA,CNF,00000082,THOMAS,USF,8,9,00000000,1,,1200,1181.97570801,1985/10/04 00:00:00+00,1985/10/07 00:00:00+00
13040,1986,CA,CNF,00000045,SLOAN,USF,8,5,00000000,1,,65,59.68615341,1986/08/07 00:00:00+00,1986/08/07 00:00:00+00
13041,1986,CA,CNF,00000034,CAPITAN,USF,8,9,00000000,1,,1610,1585.91650391,1986/07/13 00:00:00+00,1986/07/15 00:00:00+00
13042,1988,CA,BDU,00000274,TEXAS,CDF,8,7,00058203,1,,10665,12095.53515625,1988/09/28 00:00:00+00,1988/10/07 00:00:00+00
13043,1988,CA,HUU,00000000,QUEENS PEAK,CDF,,14,00001648,1,,,364.27810669,1988/01/26 00:00:00+00,1970/01/01 00:00:00+00
13044,1972,CA,PNF,00000351, ,USF,8,9,00000000,1,,316,344.46951294,1972/10/24 00:00:00+00,1972/10/26 00:00:00+00
13045,1972,CA,PNF,00000041, ,USF,8,9,00000000,1,,20,21.24707794,1972/07/11 00:00:00+00,1972/07/11 00:00:00+00
13046,1996,CA,KRN,00000000,INDIAN,CCO,,1,00000000,1,,,770.8057251,1996/06/15 00:00:00+00,1970/01/01 00:00:00+00
13047,1996,CA,KRN,00000000,WHITE OAK,CCO,,7,00000000,1,,,7180.49511719,1996/07/23 00:00:00+00,1970/01/01 00:00:00+00
13048,1996,CA,KRN,00000000,OREJANO,CCO,,14,00000000,1,,,625.48699951,1996/09/20 00:00:00+00,1970/01/01 00:00:00+00
13049,1996,CA,KRN,00000000,DRY,CCO,,14,00000000,1,,,391.14736938,1996/09/30 00:00:00+00,1970/01/01 00:00:00+00
13050,1996,CA,LPF,00000019,TASSAJARA,USF,8,5,00000000,1,,18,18.17721176,1996/06/17 00:00:00+00,1996/06/17 00:00:00+00
13051,1996,CA,SHF,00000116,ROCK,USF,8,1,00000000,1,,2523,2527.08789063,1996/08/13 00:00:00+00,1996/08/21 00:00:00+00
13052,1996,CA,SHF,00000130,MORRIS,USF,8,1,00000000,1,,469,468.70806885,1996/08/13 00:00:00+00,1996/08/25 00:00:00+00
13053,1996,CA,SHF,00000128,EASTFORK,USF,8,1,00000000,1,,130,164.54438782,1996/08/13 00:00:00+00,1996/08/25 00:00:00+00
13054,1996,CA,SHF,00000121,ALTOONA,USF,8,1,00000000,1,,198,198.40629578,1996/08/14 00:00:00+00,1996/08/17 00:00:00+00
13055,1996,CA,TCU,00000680,LIGHTNING #12,CDF,,1,00004534,1,,,1141.3269043,1996/08/12 00:00:00+00,1970/01/01 00:00:00+00
13056,1996,CA,TCU,00000699,LIGHTNING # 29,CDF,,1,00004556,1,,,5490.03271484,1996/08/12 00:00:00+00,1970/01/01 00:00:00+00
13057,1996,CA,TCU,00000716,LIGHTNING # 40,CDF,,1,00004579,1,,,3325.66992188,1996/08/12 00:00:00+00,1970/01/01 00:00:00+00
13058,1996,CA,TCU,00000682,LIGHTNING #14,CDF,,1,00004536,1,,,2647.30249023,1996/08/12 00:00:00+00,1970/01/01 00:00:00+00
13059,1997,CA,MDF,00000088,CDF #8,USF,8,1,00000000,1,,10,7.8137269,1997/07/31 00:00:00+00,1997/07/31 00:00:00+00
13060,1997,CA,KRN,00000000,COMANCHE,CCO,,10,00000000,1,,,1245.66516113,1997/08/19 00:00:00+00,1970/01/01 00:00:00+00
13061,1997,CA,KRN,00000000,POSO,CCO,,11,00000000,1,,,1394.26916504,1997/08/10 00:00:00+00,1970/01/01 00:00:00+00
13062,1997,CA,KRN,00000000,GRANITE,CCO,,10,00000000,1,,,1432.19824219,1997/05/22 00:00:00+00,1970/01/01 00:00:00+00
13063,1997,CA,KRN,00000000,CHOCTAW,CCO,,7,00000000,1,,,10521.96972656,1997/08/19 00:00:00+00,1970/01/01 00:00:00+00
13064,1997,CA,KRN,00000000,COTTONWOOD,CCO,,7,00000000,1,,,3540.4909668,1997/05/08 00:00:00+00,1970/01/01 00:00:00+00
